Authors,av_sentences,av_voc,lex_richness,av_punct,av_num_word_ns,av_num_words_sentences,av_num_words_sentences_ns,av_num_ns_sentences,av_words_length,av_ego,av_modal,emphasis,comparison,contrast,addition,illustration,comma,dotcomma,excl,qmark,dash,slash,twodot,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NNP,NNPS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WP$,WRB
Bacon,2170.0,46782.666666666664,14.994637717319861,6469.166666666667,40593.5,22.308650524753705,19.374529556946154,3.1006696796398896,5.4874247017020386,0.0051136761109226245,0.011420674614555216,0.00033847441121596955,0.011453338991008968,0.012547612679170527,0.06050445421343952,0.0,0.5933394340089934,0.12368447086935985,0.00022253081194693555,0.0025892158980030046,0.01858841118027786,0.0,0.021546567098158952,0.20509335431719009,0.014915229987838903,0.31481746429167556,0.008763144717075613,0.0020983856737487186,0.4430574433078189,0.21974628609581037,0.011696115601974392,0.008715454133581324,0.0,0.04066814507475499,0.4679757731835849,0.19261034408755992,0.06288003433722011,0.0018718554021508451,0.0027660538426687656,0.0038033240336695522,0.12776307318120037,0.03620907551803896,0.14929537162887185,0.008357774757374157,0.0038867825547845582,0.005818251186303264,0.07845100984810548,0.00014307175048286716,0.12288671101890931,0.049920118272647064,0.033919927510313086,0.07558957483844815,0.0763407015284832,0.07841524191048478,0.03991701838471994,0.007702029234327682,0.0005722870019314686,0.014664854424493884
Bentham,8168.0,150676.0,5.726193952587008,33340.0,125141.0,18.44711067580803,15.32088638589618,4.081782566111655,5.391550331226377,0.005058294244092663,0.012697677020321077,0.0,0.012250181794935313,0.008038932084608562,0.02983035136366179,0.0,0.45821835632873426,0.02012597480503899,0.001319736052789442,0.016376724655068987,0.20290941811637672,0.0,0.052009598080383926,0.32691894985335146,0.0984333643322126,1.129193790686029,0.014950997925459618,0.0011445740038629373,1.4519636597753773,0.5176335932470134,0.019100078689462764,0.013234136919665213,0.0,0.12690464267830318,1.2630374132627513,0.2975892410043637,0.4727090635953931,0.017597825309392662,0.014879462050218185,0.03204807210816224,0.5074754989627298,0.15237141426425352,0.43128979183060306,0.015237141426425353,0.005937477645038987,0.015952500178839688,0.2962300593747765,0.004435224264968882,0.3001645325130553,0.36561985835896704,0.13820731096644967,0.3777094212747693,0.0884183417984119,0.19436297303097502,0.10809070748980613,0.06845983260605193,0.006295157021246155,0.03655483224837256
Berkeley,1748.0,35219.5,9.224330575678117,4019.0,31425.0,20.08432597823915,17.94319661611129,2.2605253664247753,5.5481619275982075,0.011698503133028247,0.01796091947989294,3.2730099630735736e-05,0.008946362631381276,0.009751054393519847,0.045086438708943646,0.0,0.5824734488516949,0.0483474321905384,0.0001682935038707506,0.011306055238132818,0.04550733400305313,0.0,0.03490162153630746,0.12318477716574863,0.013770655983975965,0.24994634809356892,0.008262393590385579,0.000500751126690035,0.323056012590314,0.17229415551899277,0.009621575219972816,0.004435224264968882,0.0,0.04549681665355176,0.29626582731239715,0.1167465483940196,0.0864868731668932,0.0005722870019314685,0.004041776951140997,0.0014307175048286715,0.13416553401530867,0.026754417340296162,0.1199656627798841,0.004828671578796767,0.0017883968810358396,0.003290650261105945,0.06316617783818584,3.576793762071679e-05,0.10125903140424923,0.02217612132484441,0.032584591172473,0.07325273624722799,0.07736604907361042,0.07718720938550683,0.033693397238715214,0.013269904857285929,0.00042921525144860146,0.009263895843765649
Burke,8221.142857142857,149857.14285714287,6.8421436054189835,20526.64285714286,132268.92857142858,18.841148421750685,16.633162023119404,2.5909923529077394,5.604243214885218,0.010572187722598247,0.012947322357693162,9.808246998418781e-05,0.00862786573070522,0.007126648761034893,0.03845798660671866,0.0,0.5446526542954396,0.054374693443250265,0.0025741450106313056,0.010956849613304292,0.05538800819687057,1.8384007563458576e-05,0.014610413824046958,0.42260840239951764,0.06246614820189467,1.1970046907095337,0.014399149745025699,0.00224827036473077,1.4334971845523388,0.6473179156489836,0.021951294288371333,0.023320695328707345,0.0,0.15461457492360992,1.3735501211000174,0.48921852166004104,0.3737596190203673,0.014654635013745105,0.023867433803766873,0.021798003127139694,0.4901944753865492,0.24034010198971928,0.4160475406988033,0.01632550867117002,0.012462571408132606,0.01649412894852483,0.3254218061786558,0.0015942280768090913,0.37310557673244565,0.2860310874474978,0.10811114631130371,0.3028164696023628,0.18948320439843439,0.19656525604733635,0.10081448703667747,0.0578163163112015,0.004322810746732343,0.031133434846146772
Cavendish,2138.0,59531.5,7.962114372341912,10830.5,50363.5,28.299934034208107,24.091564000933495,4.962080491440444,5.458407438076563,0.007379241767552678,0.016816552044678523,0.0008705826985740146,0.014865186454314137,0.017923352586458278,0.053845806179865924,0.0,0.6006789583622969,0.12025123339030858,0.0004175365344467641,0.01553769414227816,0.04160100474896371,3.453992815694943e-05,0.05213382243986783,0.25134129766077684,0.02103154732098147,0.42631804850132343,0.020566564131912154,0.00035767937620716786,0.4903068889047858,0.25552614636240073,0.012089562915802276,0.007260891337005508,0.0,0.07124973174046785,0.23739180198869736,0.1727949066456828,0.5057944058945562,0.018635095500393446,0.00969311109521425,0.0093711996566278,0.14797195793690537,0.06359539308963445,0.18348951999427715,0.007904714214178411,0.003541025824450962,0.003719865512554546,0.07243007368195149,0.0016810930681736892,0.13949495672079548,0.1254739251734745,0.03659060018599328,0.059553616138493456,0.09199513556048358,0.07314543243436583,0.038486300879891265,0.008262393590385579,0.0006438228771729022,0.015666356677873954
Clifford,2652.0,44351.0,10.139568442650674,4606.0,40215.0,16.723604826546,15.164027149321267,1.7368024132730016,5.4422727837871445,0.012706701479547432,0.01929628248166107,7.459903021260723e-05,0.009250279746363298,0.00865348750466244,0.04045754071863732,0.0,0.47112462006079026,0.088797221016066,0.0010855405992184109,0.02301346070343031,0.059053408597481545,0.0,0.012592270950933565,0.13598969883396522,0.015237141426425353,0.333285642749839,0.008441233278489162,0.000500751126690035,0.4350096573431576,0.21832749123685527,0.008441233278489162,0.005365190643107518,0.0,0.06245081908577151,0.4275699263180485,0.13706273696258675,0.04156234351527291,0.0006438228771729022,0.0032191143858645113,0.005293654767866085,0.16939695257171472,0.049002074540382,0.15008226625652765,0.005937477645038987,0.0024322197582087417,0.006509764646970456,0.09042134630517204,0.00014307175048286716,0.1335574790757565,0.03998855425996137,0.03490950711781959,0.08620072966592746,0.07632877888260962,0.1137420416338794,0.0385578367551327,0.020673867944774306,0.0016453251305529723,0.013234136919665213
Dewey,5376.857142857143,75465.92857142857,11.733365113343458,9728.5,67410.64285714286,14.180055113817383,12.700557543531124,1.7720184557207432,5.870942602857171,0.002163831440730197,0.01138466345806495,9.62588156846495e-05,0.012672117800241741,0.00783629869494487,0.04265587791813886,0.0,0.42963255761560426,0.04335358793610026,0.0005849142596430964,0.00951507800368733,0.07853967823967208,1.318928457007769e-05,0.00942223207770931,0.22810746732343418,0.025226615433354107,0.5759659898010281,0.01191583293307308,0.0017168610057944063,0.7401306040693694,0.4570835845605143,0.013545828947502883,0.006739701388817921,1.0219410748776226e-05,0.06027919430165656,0.8729829438034604,0.26660909731944854,0.07185267697464563,0.0017832871756614508,0.004941085097033305,0.00828794211725752,0.17056196539707527,0.06408081510020132,0.22874107078985823,0.011323107109644058,0.0033315279041010487,0.012431913175886279,0.13648534025528083,0.00039344731382788463,0.16419016279521323,0.05176642514792595,0.07779015461968464,0.1327808038588495,0.09677271008553648,0.21061183612152926,0.060095244908178594,0.02052568648891705,0.0013489622188384617,0.017791994113619407
Emerson,5043.2,63789.4,14.003826232497676,9390.6,55104.0,12.543160874837014,10.81782421567622,1.8690779669806674,5.439063808637638,0.008616443874823219,0.01266745389644415,7.682074327952895e-05,0.008547925616782848,0.008825969756872155,0.05187350225103149,0.0,0.5296147480190527,0.07453691276583534,0.00613550306724589,0.015237689631158161,0.05868375222246588,0.0,0.01077951487767145,0.23828600042921527,0.01887116388869018,0.47768796051219686,0.010086558409042134,0.0007439731025109091,0.5182488017740897,0.28375420273267044,0.011646040489305388,0.011259746763001646,0.0,0.06466843121825595,0.6744259246011876,0.2326203591100937,0.10143787109235283,0.0015880964303598255,0.00675298662279133,0.006094856570570141,0.21526575577652193,0.09442735531869231,0.1674940982902926,0.006137778095715001,0.00291866370985049,0.007997710851992275,0.09611560197439016,0.0005865941769797554,0.15029687388225194,0.06093425853065312,0.03735603405107661,0.0764575434580442,0.10627369625867374,0.16765147721582374,0.03658344659846914,0.027426854567565634,0.0018027040560841263,0.01951498676586308
Fellerton,7204.666666666667,94962.66666666667,6.6342499161181365,12683.333333333334,83894.33333333333,13.586034913609039,11.999018325118968,1.8025356482041281,5.503584718318103,0.009492448424616285,0.022463638743564118,0.00021062628534979075,0.013516322879392464,0.008106977011497112,0.03323397837153567,0.0,0.41979995790818375,0.039302536408459404,0.0007146715894131046,0.02999907484973689,0.05807683287328715,9.278589654372535e-05,0.01535293175404714,0.23442306316617786,0.056107971481031076,0.7081097837232039,0.01764551589288695,0.0016691704223001167,0.8680401554713022,0.4645778191096168,0.015213296134678207,0.008178935069270572,0.0,0.1467439254119274,0.881226601807473,0.29305863557240625,0.1350597324558266,0.0017883968810358394,0.007105896940649069,0.010921143620192192,0.3535302954431647,0.0900159763454706,0.3185254071583566,0.011302668288146503,0.0029091255931516322,0.013377208670148077,0.1977251591673224,0.00040536995970145696,0.30071297422323967,0.05265040417769511,0.06927057252545485,0.17299759162553355,0.17204377995564776,0.255073085819205,0.0638338460071059,0.04614063953072466,0.0016214798388058279,0.03352648019648521
Godwin,8082.0,129720.0,8.039623805118717,15593.0,114996.0,16.05048255382331,14.228656273199704,1.9293491709972779,5.571915544888518,0.010252530522800793,0.016104907996799887,5.2175727851403525e-05,0.008304636683015062,0.008374204320150265,0.044914605725416536,0.0,0.5939844802154813,0.04271147309690246,0.005835952029756942,0.008529468351183223,0.03257872122106073,0.0,0.011928429423459244,0.414121181772659,0.041419271764790044,1.0051505830173832,0.020244652693325704,0.0007868946276557694,1.2073825023249158,0.582087416839545,0.02303455182774161,0.02575291508691609,0.0,0.16281565204950282,1.2688318191573074,0.44516775162744116,0.10258244509621575,0.0017168610057944058,0.015022533800701052,0.005293654767866085,0.4676300164532513,0.19829744616925388,0.3754202732670434,0.019600829816152802,0.01845625581228986,0.01902854281422133,0.2716932541669647,0.0003576793762071679,0.35345875956792333,0.12468703054581873,0.08569997853923743,0.252593175477502,0.1980828385435296,0.2958723799985693,0.10687459761070177,0.053437298805350884,0.00479290364117605,0.038843980256098434
